Country Name,Country Code,imo2015_tasks_points,area,gdp,gov_educ_expenditure,gross_enrollment_ratio,high_tech_exports,internet_user_percentage,migration,population,prob_of_death,unemployment_rate
Albania,ALB,37.0,28750.0,11386850129.8411,0.0343796992301941,0.620076217651367,16607486.0,0.569,-12240.0,2880703.0,0.024,0.171900005340576
Argentina,ARG,70.0,2780400.0,594749285413.212,0.057761101722717305,0.840019989013672,1475175631.0,0.6804306411000001,5522.0,43131966.0,0.05,0.0752400016784668
Armenia,ARM,104.0,29740.0,10553337672.9872,0.028059101104736302,0.46521800994872997,11860132.0,0.5910083377,-27283.0,2878595.0,0.03,0.121770000457764
Australia,AUS,148.0,7741220.0,1350615691821.28,0.0531583976745605,1.18610862731934,5089628319.0,0.8456051491,209466.0,23815995.0,0.02,0.0605000019073486
Austria,AUT,63.0,83879.0,381971148530.543,0.0545658016204834,0.807194213867188,18084508523.0,0.8394014193,115125.0,8642699.0,0.019,0.0571999979019165
Azerbaijan,AZE,73.0,86600.0,53074370486.0433,0.029516799449920698,0.254832000732422,13926421.0,0.77,1084.0,9649341.0,0.035,0.0496000003814697
Belgium,BEL,67.0,30530.0,462335574841.484,0.064515700340271,0.7455976104736329,22551602141.0,0.8505294175,57008.0,11274196.0,0.02,0.0847999954223633
Bangladesh,BGD,97.0,147630.0,195078678697.23,0.0187225413322449,0.13787409782409699,93607707.0,0.129,-286512.0,157830000.0,0.047,0.0437099981307983
Bulgaria,BGR,100.0,111000.0,50781996712.7635,0.0392179489135742,0.703015365600586,1185637796.0,0.5665625161,-15356.0,7177991.0,0.031,0.0914000034332275
Belarus,BLR,84.0,207600.0,56454734396.5842,0.047875199317932104,0.895671615600586,577131802.0,0.6223036091,13681.0,9461076.0,0.037000000000000005,0.058379998207092304
Brazil,BRA,109.0,8515770.0,1802214373741.32,0.062410597801208494,0.513200416564941,9433008382.0,0.5832795173,4764.0,205188205.0,0.08199999999999999,0.08560000419616699
Botswana,BWA,1.0,581730.0,13530738157.7648,0.0780650997161865,0.302393398284912,37475913.0,0.3731205037,2145.0,2305171.0,0.081,0.19298999786377
Canada,CAN,140.0,9879750.0,1556508816217.14,0.047393798828125,0.6478695678710941,28241567521.0,0.9,232738.0,35702908.0,0.026000000000000002,0.0690999984741211
Colombia,COL,72.0,1141749.0,293481753078.868,0.044703898429870596,0.532821388244629,823794430.0,0.5590497251,-41064.0,47119728.0,0.069,0.0830000019073486
Costa Rica,CRI,53.0,51100.0,56441917652.9812,0.0687349987030029,0.530526313781738,869820756.0,0.5976295014,4065.0,4895242.0,0.044000000000000004,0.0842000007629395
Cyprus,CYP,58.0,9251.0,19909190058.804,0.0632612991333008,0.601012306213379,55564490.0,0.7171574092,4655.0,1187280.0,0.02,0.149099998474121
Ecuador,ECU,27.0,256370.0,99290381000.0,0.0499870014190674,0.448922309875488,103054631.0,0.4894043379,14740.0,16195902.0,0.055999999999999994,0.0361999988555908
Spain,ESP,47.0,505924.0,1196156971279.69,0.042865700721740695,0.856117782592773,13109480801.0,0.7868963187,-871.0,46444832.0,0.013000000000000001,0.220599994659424
Estonia,EST,51.0,45340.0,22890762090.1508,0.0514418983459473,0.721676177978516,2052941145.0,0.884097035,4308.0,1315407.0,0.032,0.06409999847412111
