Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP (current US$),"1873184357,5419","1896648044,69274","1962011173,18436","2044134078,21229","2254748603,35196","2359776536,31285","2469832402,23464","2677653631,28492","2843016759,77654","2553631284,9162","2453631284,9162","2637988826,81564","2615083798,88268","2727932960,89385","2791061452,51397","2963128491,62011","2983798882,68156","3092178770,94972","3202234636,87151","3368970253,05286","2610038937,56355","3126019399,06492"
Africa Eastern and Southern,AFE,GDP (current US$),"283937941817,293","258829983740,485","264881490155,465","352674051427,535","438853140522,126","512233712292,51","575722407956,308","660827012895,537","708119166019,631","719095270493,797","860361207235,72","964213016259,692","972002199045,518","982677082467,187","1003403000510,52","923143900034,922","889859250365,411","1030482257898,25","1016696893390,38","1009051505055,59","934179085451,04","1089454323810,36"
Afghanistan,AFG,GDP (current US$),,,"3854235264,37171","4539500884,0479","5220823684,66085","6226199249,32211","6971379033,26327","9715761649,79443","10249767311,213","12154835707,8987","15633856787,0425","18190410820,6235","20203572959,5023","20564485419,1684","20550582746,8448","19998156214,3988","18019558181,9602","18896352021,94","18418848299,5825","18904490262,913","20143442150,971","14786861638,4535"
Africa Western and Central,AFW,GDP (current US$),"140410259302,465","146779813046,927","176605835909,847","204470860701,304","253471913925,27","310094246800,233","395655858340,007","464425613626,874","566479463919,374","507029514633,981","597129288864,775","680455985950,414","736039861278,13","832216894624,603","892497905712,366","766957955078,105","690545418736,157","683748014299,694","766359667820,703","794719102944,191","784799699387,377","840187283626,448"
Angola,AGO,GDP (current US$),"9129594818,60749","8936063723,20121","15285594828,418","17812704825,1957","23552047248,4301","36970918699,2523","52381006892,038","65266452081,386","88538610805,3214","70307166934,3311","81699526880,8079","109436566876,419","124998210652,243","133401582620,494","137244439121,374","87219300384,5072","49840491178,1518","68972769395,6274","77792944471,9494","69309110145,7687","53619073505,1377","67404287260,3199"
Albania,ALB,GDP (current US$),"3480355258,04122","3922100793,5403","4348068242,19512","5611496257,14231","7184685781,51876","8052073539,38058","8896072918,9814","10677324144,4289","12881353507,8539","12044208085,864","11926922828,9911","12890764531,3284","12319830437,3467","12776220507,0162","13228147516,1168","11386850129,8411","11861199830,8396","13019689336,6919","15156432309,8977","15401830754,0773","15131866270,5936","18255787479,1846"
Andorra,AND,GDP (current US$),"1429049198,45218","1546926174,49664","1755910031,99699","2361726862,30248","2894921777,99851","3159905484,39249","3456442102,622","3952600602,24473","4085630584,44412","3674409558,21061","3449966856,68832","3629203786,19154","3188808942,56713","3193704343,20627","3271808157,30038","2789870187,50693","2896679211,86628","3000180750,11297","3218316013,22626","3155065487,51819","2891022272,98687","3330281523,53915"
Arab World,ARB,GDP (current US$),"816019292861,185","798505436109,015","803122797644,81","887852467421,85","1056246691798,46","1297892893576,4","1538290265813,1","1790035967811,6","2253731073493,57","1978796922179,86","2327000352027,74","2541860324280,98","2787171487379,26","2843529425181,9","2895457837893,28","2538925219911,17","2516485492775,5","2598094271212,95","2800428454533,12","2818359324481,87",2491175410790,"2862987423061,49"
United Arab Emirates,ARE,GDP (current US$),"104337372362,151","103311640571,818","109816201497,617","124346358066,712","147824370319,946","180617467964,602","222116541865,214","257916133424,098","315474615738,598","253547358747,447","289787452661,675","350666058379,85","384610125384,033","400218529747,597","414105366758,911","370275469560,166","369255326235,771","390516804016,501","427049432149,345","417989721734,494","349473015336,939","415021590683,006"
Argentina,ARG,GDP (current US$),284203750000,268696750000,"97724004251,8602","127586973492,177","164657930452,787","198737095012,282","232557260817,308","287530508430,568","361558037110,419","332976484577,619","423627422092,49","530163281574,658","545982375701,128","552025140252,246","526319673731,638","594749285413,212","557531376217,967","643628665302,155","524819742918,669","447754609218,678","385540224628,292","487227339102,67"
Armenia,ARM,GDP (current US$),"1911563668,85006","2118467913,37873","2376335048,39976","2807061008,69084","3576615240,41616","4900469950,09033","6384451606,1421","9206301700,39619","11662040713,8753","8647936747,98704","9260284937,79781","10142111334,4961","10619320048,5857","11121465767,4067","11609512939,7542","10553337672,9872","10546135160,031","11527458565,7334","12457941907,0333","13619291361,2814","12641697523,2966","13861409968,835"
American Samoa,ASM,GDP (current US$),,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000
Antigua and Barbuda,ATG,GDP (current US$),"826370370,37037","800481481,481481","814381481,481481","856396296,296296","919729629,62963","1022962962,96296","1157662962,96296","1312759259,25926","1370070370,37037","1228329629,62963",1148700000,"1137637037,03704","1199948148,14815","1181448148,14815","1249733333,33333","1336692592,59259","1436585185,18519","1467977777,77778","1605944444,44444","1687533333,33333","1370281481,48148","1471125925,92593"
