Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,High-technology exports (current US$),,,,,,,,,,1082577.0,703388.0,1269221.0,3656986.0,1702027.0,2236381.0,1265878.0,1255852.0,2004844.0,2562889.0,1655574.0,1788242.0,1171447.0
Africa Eastern and Southern,AFE,High-technology exports (current US$),,,,,,,,,,,,,,2996726465.0,3105385434.0,3261509702.0,3058025674.0,2600999166.0,2624922469.0,2217336335.0,2090623477.0,
Afghanistan,AFG,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,High-technology exports (current US$),,,,,,,,,,,,,,,,,289288813.0,,287038404.0,,,
Angola,AGO,High-technology exports (current US$),,,,,,,,,,,,,,,,102003480.0,101140545.0,90107053.0,67484791.0,77770743.0,,
Albania,ALB,High-technology exports (current US$),,,,,,,,,,10128935.0,14074208.0,11890517.0,10014580.0,10843586.0,1960836.0,16607486.0,10199913.0,1119013.0,591718.0,1753201.0,3810240.0,
Andorra,AND,High-technology exports (current US$),,,,,,,,33424896.0,17935435.0,10402350.0,19545650.0,18990187.0,19714197.0,21595662.0,18015811.0,17999515.0,21706224.0,24235416.0,33913478.0,,,
Arab World,ARB,High-technology exports (current US$),,,,,,,,,,,,,,,3190926175.0,3107974654.0,2709448178.0,2845386055.0,,,,
United Arab Emirates,ARE,High-technology exports (current US$),,,,,,,,,211033592.0,,,,493096250.0,401347906.0,1465448357.0,903527788.0,484009003.0,527367400.0,718134071.0,679396253.0,1210577524.0,2904969194.0
Argentina,ARG,High-technology exports (current US$),,,,,,,,1202087337.0,2014770885.0,1607438723.0,1686223647.0,1926288755.0,1654528414.0,1791005926.0,1509995248.0,1475175631.0,1333425811.0,1487360178.0,647172447.0,561915855.0,546445789.0,466425814.0
Armenia,ARM,High-technology exports (current US$),,,,,,,,5195605.0,7247588.0,5130103.0,4727601.0,7448895.0,7581095.0,9332592.0,9307631.0,11860132.0,21845447.0,28235636.0,36293329.0,45573710.0,26514439.0,37562645.0
American Samoa,ASM,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,High-technology exports (current US$),,,,,,,,,,,,,,,,,162.0,3183.0,11437.0,,,
