Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Net migration,1235.0,560.0,350.0,324.0,315.0,579.0,569.0,621.0,666.0,703.0,498.0,315.0,229.0,134.0,88.0,177.0,170.0,218.0,367.0,412.0,0.0,501.0
Africa Eastern and Southern,AFE,Net migration,-564510.0,-409728.0,-452301.0,-342557.0,-331713.0,-357877.0,-284378.0,-214900.0,-359068.0,-473488.0,-371556.0,-683611.0,-285231.0,-92842.0,-199608.0,394925.0,-864708.0,-343075.0,-366105.0,-187410.0,-48955.0,-179444.0
Afghanistan,AFG,Net migration,-1007135.0,-192286.0,1327074.0,388632.0,-248616.0,252185.0,62684.0,-942887.0,221000.0,-58881.0,-141355.0,418796.0,105905.0,48076.0,255611.0,-281739.0,-90238.0,-47090.0,-47205.0,-8082.0,166821.0,-183672.0
Africa Western and Central,AFW,Net migration,-22651.0,-38737.0,-39042.0,-99836.0,-41511.0,-137920.0,-223100.0,-225365.0,-247671.0,-220606.0,-264237.0,-198802.0,-435876.0,-377305.0,-280418.0,-360393.0,-167286.0,-200823.0,-255888.0,-328552.0,-99761.0,-264802.0
Angola,AGO,Net migration,53527.0,56959.0,60505.0,59438.0,66585.0,64009.0,70170.0,73940.0,73804.0,77265.0,90016.0,94709.0,96056.0,91528.0,84532.0,74170.0,91623.0,77733.0,61632.0,58986.0,7557.0,29089.0
Albania,ALB,Net migration,-63610.0,-62059.0,-59876.0,-57308.0,-54383.0,-50855.0,-47174.0,-43019.0,-38736.0,-34116.0,-29330.0,-24465.0,-19946.0,-16845.0,-14265.0,-12240.0,-10887.0,-9768.0,-9106.0,-8889.0,-9117.0,-10612.0
Andorra,AND,Net migration,146.0,2690.0,2690.0,2722.0,2744.0,2467.0,-2420.0,-2446.0,-2584.0,-2678.0,-2864.0,27.0,33.0,12.0,-84.0,-232.0,1303.0,887.0,1184.0,1238.0,1474.0,1377.0
Arab World,ARB,Net migration,-4273.0,-182158.0,-87387.0,-247339.0,10402.0,820217.0,1327595.0,1631375.0,1470703.0,1117576.0,39096.0,-864858.0,-66311.0,340149.0,-184490.0,-194516.0,3140.0,13305.0,511128.0,139844.0,-1585167.0,-458710.0
United Arab Emirates,ARE,Net migration,131735.0,130241.0,128160.0,124550.0,122863.0,339380.0,781672.0,1037187.0,1040422.0,783241.0,-13726.0,-15738.0,-16401.0,-15566.0,-14954.0,-14154.0,-13520.0,-12895.0,-8582.0,-4466.0,-2762.0,-2762.0
Argentina,ARG,Net migration,-22770.0,-22787.0,-22668.0,-22353.0,-22336.0,-21961.0,-19958.0,-18051.0,-12450.0,-7869.0,-4970.0,-1011.0,3127.0,5369.0,5801.0,5522.0,5215.0,4926.0,4690.0,4478.0,2344.0,2344.0
Armenia,ARM,Net migration,-51873.0,-44486.0,-34971.0,-30238.0,-30623.0,-31023.0,-31302.0,-31530.0,-31822.0,-32000.0,-31991.0,-29214.0,-28731.0,-28257.0,-27763.0,-27283.0,-26804.0,-26326.0,-25835.0,-25363.0,-12825.0,-12825.0
American Samoa,ASM,Net migration,-1158.0,-1503.0,-1583.0,-1647.0,-1701.0,-1697.0,-1661.0,-1618.0,-1586.0,-1527.0,-1475.0,-1509.0,-1538.0,-1575.0,-1602.0,-1629.0,-1641.0,-1652.0,-1652.0,-1650.0,-1636.0,-1646.0
Antigua and Barbuda,ATG,Net migration,271.0,148.0,51.0,41.0,101.0,202.0,314.0,372.0,369.0,338.0,295.0,247.0,203.0,156.0,108.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0
Australia,AUS,Net migration,109375.0,113907.0,107886.0,103907.0,109226.0,132109.0,192139.0,251231.0,278516.0,235881.0,166833.0,197748.0,235719.0,214564.0,198120.0,209466.0,242184.0,244875.0,220307.0,235860.0,117929.0,117929.0
Austria,AUT,Net migration,17531.0,39173.0,37429.0,44003.0,54907.0,50282.0,25420.0,23729.0,25499.0,17121.0,22786.0,31665.0,44891.0,56494.0,74263.0,115125.0,66282.0,45573.0,35404.0,41105.0,20314.0,20314.0
Azerbaijan,AZE,Net migration,15938.0,16248.0,15071.0,13154.0,13488.0,16436.0,16909.0,17111.0,15048.0,890.0,1384.0,1688.0,1988.0,2289.0,1084.0,1084.0,1484.0,1184.0,1583.0,392.0,1084.0,1084.0
Burundi,BDI,Net migration,-40114.0,9965.0,-16881.0,36721.0,47090.0,17913.0,15322.0,22120.0,79323.0,184361.0,11847.0,-19517.0,22613.0,-2295.0,-6856.0,-236447.0,-109490.0,-68450.0,68145.0,14241.0,-10186.0,-14415.0
Belgium,BEL,Net migration,32262.0,35439.0,38517.0,41479.0,43994.0,46280.0,48426.0,50352.0,51937.0,53385.0,54611.0,55511.0,56227.0,56755.0,57103.0,57008.0,56781.0,56248.0,55439.0,54395.0,53428.0,52356.0
Benin,BEN,Net migration,3337.0,3730.0,3568.0,4278.0,4173.0,30492.0,-15131.0,247.0,3192.0,4272.0,3947.0,4278.0,1267.0,-899.0,3667.0,3366.0,3827.0,3716.0,3368.0,3363.0,1732.0,1732.0
Burkina Faso,BFA,Net migration,3880.0,10651.0,16076.0,15362.0,17573.0,9794.0,-4220.0,-28226.0,-40782.0,-40215.0,-42128.0,-33455.0,-20961.0,-33275.0,-18009.0,-19754.0,-7603.0,-14801.0,-23971.0,-25277.0,-5665.0,-13097.0
Bangladesh,BGD,Net migration,-424718.0,-347605.0,-451611.0,-533925.0,-535175.0,-715970.0,-1146688.0,-923456.0,-1390782.0,-740788.0,-462265.0,-341152.0,-242022.0,-194048.0,-219628.0,-286512.0,-55013.0,-175755.0,-323380.0,-344054.0,-61154.0,-174500.0
Bulgaria,BGR,Net migration,-11295.0,-8623.0,-6134.0,-4527.0,-4156.0,-3832.0,-3980.0,-4748.0,-5674.0,-6997.0,-8686.0,-11262.0,-13770.0,-15243.0,-15527.0,-15356.0,-14947.0,-13560.0,-12115.0,-11439.0,-9902.0,-8716.0
Bahrain,BHR,Net migration,6264.0,5704.0,4197.0,28186.0,53424.0,53401.0,53765.0,54165.0,53870.0,52049.0,-17076.0,-20040.0,11754.0,27227.0,36320.0,29250.0,29052.0,29024.0,-3601.0,-17127.0,-48716.0,-9150.0
"Bahamas, The",BHS,Net migration,843.0,293.0,634.0,951.0,1031.0,800.0,1737.0,1728.0,1476.0,1617.0,1899.0,1384.0,1048.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,0.0,485.0
Bosnia and Herzegovina,BIH,Net migration,8141.0,9058.0,-13313.0,-27396.0,-68032.0,-37107.0,-38642.0,-65367.0,-68177.0,-68227.0,-67267.0,-64918.0,-66436.0,-37030.0,-35709.0,-33976.0,-32195.0,-30669.0,-29154.0,-27848.0,-26857.0,-25865.0
Belarus,BLR,Net migration,-10419.0,-12414.0,-13520.0,-13488.0,-12943.0,-11902.0,-9732.0,-6448.0,-2728.0,2166.0,4892.0,7578.0,9425.0,10496.0,12222.0,13681.0,15258.0,15937.0,15731.0,15082.0,13589.0,12961.0
Belize,BLZ,Net migration,1678.0,1912.0,1977.0,2199.0,2330.0,2397.0,2598.0,2707.0,2702.0,2694.0,1644.0,1583.0,1529.0,1504.0,1452.0,1363.0,1283.0,1222.0,1185.0,1164.0,0.0,577.0
Bermuda,BMU,Net migration,-67.0,-148.0,-127.0,-127.0,-191.0,-80.0,-182.0,-299.0,-181.0,-264.0,-216.0,-208.0,-243.0,-254.0,-233.0,-315.0,0.0,227.0,306.0,290.0,291.0,291.0
Bolivia,BOL,Net migration,-17675.0,-16536.0,-16253.0,-15499.0,-15173.0,-14657.0,-14110.0,-13667.0,-13417.0,-13056.0,-12592.0,-12107.0,-11688.0,-11371.0,-10972.0,-10525.0,-10071.0,-9669.0,-9345.0,-8978.0,-4666.0,-4666.0
Brazil,BRA,Net migration,-1761.0,3453.0,6018.0,-16908.0,-5390.0,-42926.0,-34007.0,-30331.0,-35373.0,-29357.0,16843.0,33631.0,43451.0,35308.0,24940.0,4764.0,82589.0,56362.0,67934.0,69186.0,56880.0,20376.0
Barbados,BRB,Net migration,-833.0,-103.0,-121.0,-145.0,-159.0,-172.0,-160.0,19.0,296.0,75.0,-36.0,-54.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,0.0,-28.0
Brunei Darussalam,BRN,Net migration,1660.0,1572.0,1504.0,1388.0,1263.0,1163.0,1027.0,877.0,710.0,569.0,468.0,-291.0,-342.0,-395.0,-444.0,-485.0,-539.0,-587.0,-638.0,-587.0,-395.0,-192.0
Bhutan,BTN,Net migration,6069.0,5998.0,6015.0,6081.0,5595.0,1779.0,-958.0,-1256.0,-1399.0,-1274.0,-1190.0,-941.0,-725.0,-730.0,-870.0,-1171.0,-521.0,291.0,291.0,291.0,291.0,291.0
Botswana,BWA,Net migration,7970.0,7418.0,4964.0,4758.0,4758.0,4771.0,4798.0,4834.0,4820.0,4349.0,3562.0,1301.0,488.0,471.0,1138.0,2145.0,3129.0,3761.0,3819.0,2933.0,1816.0,1816.0
Central African Republic,CAF,Net migration,8082.0,-33004.0,5996.0,-18097.0,-16514.0,-13609.0,-41307.0,-30374.0,-29004.0,-28917.0,-43189.0,-86451.0,-112033.0,-112663.0,-174543.0,-63213.0,-52758.0,-58734.0,-53083.0,-36942.0,-24803.0,-85860.0
Canada,CAN,Net migration,201617.0,224357.0,206028.0,182430.0,193282.0,204710.0,202483.0,210817.0,237962.0,240878.0,227724.0,228828.0,245309.0,242475.0,195649.0,232738.0,320494.0,361274.0,417974.0,391914.0,195181.0,195181.0
Central Europe and the Baltics,CEB,Net migration,123701.0,-162378.0,-164421.0,-142746.0,-140237.0,-167658.0,-181600.0,-167129.0,-163098.0,-114334.0,-129981.0,-107546.0,-69859.0,-101267.0,-88917.0,-99535.0,-110911.0,-76183.0,-61261.0,-19843.0,-29918.0,-20678.0
Switzerland,CHE,Net migration,24066.0,35173.0,48658.0,41871.0,38681.0,32421.0,36928.0,71939.0,94153.0,69106.0,75604.0,66975.0,67464.0,83892.0,77880.0,71488.0,70637.0,45208.0,40899.0,43546.0,53786.0,23872.0
Channel Islands,CHI,Net migration,60.0,731.0,929.0,849.0,842.0,817.0,775.0,745.0,719.0,750.0,737.0,101.0,621.0,993.0,543.0,1396.0,1180.0,1429.0,2353.0,1566.0,1362.0,1242.0
Chile,CHL,Net migration,5790.0,6720.0,7828.0,9266.0,11515.0,14336.0,17348.0,20188.0,22516.0,24330.0,26064.0,28128.0,30925.0,36566.0,52709.0,55709.0,126525.0,214697.0,237358.0,230162.0,98439.0,113709.0
Cote d'Ivoire,CIV,Net migration,-63877.0,-76730.0,-90581.0,-99980.0,-108973.0,-117468.0,-124792.0,-130231.0,-133857.0,-136317.0,-138260.0,-156846.0,-144173.0,-148501.0,-23011.0,-21498.0,-20148.0,-18758.0,-17190.0,-15520.0,-12301.0,-21000.0
Cameroon,CMR,Net migration,-21221.0,-19204.0,-10766.0,-18575.0,-19445.0,-27782.0,-28536.0,-10804.0,-10722.0,-10203.0,-9362.0,-12671.0,-7529.0,-6900.0,96607.0,42007.0,13251.0,-37910.0,-9185.0,-12254.0,-9889.0,-9889.0
"Congo, Dem. Rep.",COD,Net migration,-48028.0,26524.0,-17355.0,-106740.0,4255.0,20379.0,40036.0,9939.0,-11707.0,-46015.0,8823.0,40890.0,-25257.0,121103.0,36966.0,47831.0,173022.0,4350.0,-124242.0,-144916.0,-1643.0,-64643.0
"Congo, Rep.",COG,Net migration,79780.0,-778.0,-16141.0,26287.0,25414.0,38337.0,35476.0,31237.0,1786.0,86016.0,12316.0,5262.0,-26640.0,-24608.0,-21600.0,-18219.0,-14788.0,-11604.0,-8858.0,-6271.0,-4465.0,-4466.0
Colombia,COL,Net migration,-31116.0,-27618.0,-24379.0,-33007.0,-25907.0,-41348.0,-39142.0,-49575.0,-63246.0,-46902.0,-34185.0,-46273.0,-55913.0,-64686.0,-67516.0,-41064.0,79978.0,415618.0,494364.0,395803.0,229437.0,211978.0
Comoros,COM,Net migration,-2971.0,-2551.0,-2502.0,-3084.0,-3103.0,-2717.0,-2681.0,-2611.0,-2550.0,-2420.0,-2294.0,-2146.0,-1970.0,-1773.0,-1569.0,-1349.0,-1136.0,-2922.0,-2919.0,-2917.0,-1772.0,-1772.0
Cabo Verde,CPV,Net migration,-2722.0,-3110.0,-3372.0,-3571.0,-3662.0,-3673.0,-3456.0,-3443.0,-3295.0,-3429.0,-1914.0,-1744.0,-1625.0,-1585.0,-1534.0,-1474.0,-1408.0,-1354.0,-1323.0,-1296.0,-1274.0,-1274.0
Costa Rica,CRI,Net migration,13590.0,10960.0,8929.0,8010.0,7458.0,7022.0,6651.0,6273.0,5833.0,5283.0,4728.0,4258.0,3983.0,3950.0,3996.0,4065.0,4150.0,4196.0,4198.0,4154.0,2084.0,2084.0
Caribbean small states,CSS,Net migration,-38012.0,-36347.0,-34708.0,-33189.0,-35485.0,-35732.0,-34649.0,-34155.0,-33690.0,-31939.0,-30222.0,-28184.0,-19619.0,-19814.0,-17545.0,-19122.0,-17915.0,-15824.0,54518.0,-53765.0,2389.0,-7303.0
Cuba,CUB,Net migration,-24942.0,-22329.0,-23874.0,-19525.0,-13532.0,-11973.0,-9462.0,-14434.0,-24636.0,-30328.0,-27718.0,-28752.0,-17531.0,-15301.0,-14543.0,-14372.0,-14454.0,-14498.0,-14219.0,-13686.0,-7068.0,-7068.0
Curacao,CUW,Net migration,-2632.0,-966.0,556.0,1029.0,1079.0,1460.0,1535.0,1588.0,1598.0,1570.0,1499.0,1513.0,1470.0,1281.0,1065.0,844.0,647.0,535.0,25591.0,-9592.0,997.0,502.0
Cayman Islands,CYM,Net migration,1020.0,1038.0,1075.0,1078.0,1036.0,985.0,997.0,984.0,933.0,918.0,895.0,880.0,897.0,967.0,980.0,1079.0,1077.0,1106.0,1054.0,973.0,766.0,276.0
Cyprus,CYP,Net migration,11577.0,12052.0,13449.0,13326.0,13126.0,13237.0,12664.0,12912.0,12489.0,12173.0,12456.0,6134.0,4789.0,4426.0,4467.0,4655.0,4878.0,5014.0,4977.0,4948.0,2999.0,1995.0
Germany,DEU,Net migration,60905.0,48500.0,45985.0,54381.0,73107.0,102694.0,145046.0,180746.0,211709.0,240968.0,267047.0,293051.0,317082.0,342555.0,369027.0,397921.0,432017.0,430803.0,392587.0,360560.0,334055.0,312735.0
Djibouti,DJI,Net migration,5627.0,7631.0,5022.0,-5634.0,-5247.0,-3779.0,2723.0,1253.0,2148.0,2770.0,2129.0,2090.0,2104.0,2033.0,1900.0,1723.0,1623.0,1535.0,1435.0,1322.0,744.0,742.0
Dominica,DMA,Net migration,-994.0,-603.0,-278.0,-259.0,-304.0,-314.0,-390.0,-332.0,-347.0,-228.0,-243.0,0.0,158.0,-445.0,1445.0,-393.0,179.0,187.0,194.0,326.0,100.0,57.0
Denmark,DNK,Net migration,12536.0,11934.0,11518.0,11337.0,11366.0,11693.0,12217.0,13067.0,14111.0,15469.0,17037.0,18519.0,19732.0,20779.0,21670.0,22368.0,22859.0,23188.0,23337.0,23305.0,23076.0,22746.0
Dominican Republic,DOM,Net migration,-30231.0,-30371.0,-30477.0,-30549.0,-30709.0,-30883.0,-30977.0,-30898.0,-30605.0,-30468.0,-30489.0,-30572.0,-30615.0,-30563.0,-30449.0,-30310.0,-30181.0,-30055.0,-29944.0,-29830.0,-14966.0,-14966.0
Algeria,DZA,Net migration,-18994.0,-25798.0,-36255.0,-39330.0,-38621.0,-111256.0,-32745.0,-37062.0,-33931.0,-33857.0,-33071.0,-34829.0,-35119.0,-35412.0,-36088.0,-36371.0,-36227.0,-36448.0,-36227.0,-36386.0,-18797.0,-18797.0
East Asia & Pacific (excluding high income),EAP,Net migration,-722260.0,-742927.0,-745161.0,-854291.0,-740794.0,-884087.0,-824038.0,-755479.0,-803283.0,-646307.0,-488582.0,-270234.0,-261555.0,-340030.0,-474132.0,-236577.0,-79334.0,-222500.0,-458345.0,-471983.0,-116323.0,-325171.0
